ch,basis,mu0,tau_bound,tol_aperp,era_from,anchor,offset_hz,anchor_method,anchor_early,anchor_late,n_desg,n_bulk,rho,headroom,quantile,m,multiplier_q16,f,r_fine,r_nocredit,margin,penalty,r_early,r_late,worst_era,era_stable,f_recent,coarse_covered,feasible
31,sigma_null,1.0019652543039068,False,0.0156,2024,168,-1049.041748046875,median_only,167,177,11,123,80,43,0.6451612903225806,1.5000000000000004,98304,0.9945469798657718,0.00753424624751982,0.0753424624751982,2.0705455446369734,184.7662802349289,0.007177761502252564,0.007688320162847191,206.39244677372653,True,0.9977939824744163,0.9947383711546531,1265
32,product,1.0022890520167338,True,0.0156,2024,141,-1370.9068298339844,rej_minus_quiet,152,141,10,123,,,,,,,,,,,,,,,,,0
32,sigma_null,1.0022890520167338,True,0.0156,2024,141,-1370.9068298339844,rej_minus_quiet,152,141,10,123,,,,,,,,,,,,,,,,,0
33,product,1.0049672790349287,True,0.0156,2024,179,-917.9115295410156,rej_minus_quiet,123,180,11,123,,,,,,,,,,,,,,,,,0
33,sigma_null,1.0049672790349287,True,0.0156,2024,179,-917.9115295410156,rej_minus_quiet,123,180,11,123,,,,,,,,,,,,,,,,,0
34,product,1.0043399352955102,True,0.0156,2024,102,1215.9347534179688,rej_minus_quiet,103,103,6,125,,,,,,,,,,,,,,,,,0
34,sigma_null,1.0043399352955102,True,0.0156,2024,102,1215.9347534179688,rej_minus_quiet,103,103,6,125,,,,,,,,,,,,,,,,,0
35,product,0.9974882260596546,False,0.0352,2024,109,1299.3812561035156,rej_minus_quiet,82,111,12,122,67,55,0.5447154471544715,7.608884611337714,498656,0.7142928975487115,0.023085772528766674,0.23085772528766674,1.5247486284523533,3.5808902325177487,0.016946701715504244,0.23702367560167178,inf,False,0.9978251816204711,0.8531735303835871,1656
35,sigma_null,0.9974882260596546,False,0.0352,2024,109,1299.3812561035156,rej_minus_quiet,82,111,12,122,67,55,0.5447154471544715,7.608884611337714,498656,0.7142928975487115,0.023085772528766674,0.23085772528766674,1.5247486284523533,3.5808902325177487,0.016946701715504244,0.23702367560167178,inf,False,0.9978251816204711,0.8531735303835871,1656
36,product,0.989132984129466,True,0.0352,2024,62,739.0975952148438,median_only,62,62,5,125,,,,,,,,,,,,,,,,,0
36,sigma_null,0.989132984129466,True,0.0352,2024,62,739.0975952148438,median_only,62,62,5,125,,,,,,,,,,,,,,,,,0
